الرقم,اسم الشركة,الهاتف,الإيميل,الموقع,العنوان,القطاع,رقم الصفحة,تاريخ الاستخراج
887,شركة الوادي للبويات و الصناعات الكيماوية,,director@valley.com ,http://www.valleyegypt.com/,Kom Osheam – El fayoum – Egypt  						محافظة الفيوم,الصناعات الكيماوية والأسمدة,92,2025-07-22T04:31:23.671469
888,الواحة لتصنيع التمور,+(202)23918825,elwahadates@gmail.com,http://www.WWW.ELWAHAEGYPT.COM,24 KADRY ST ،EL SAYEDA ZIENB ،CAIRO   						محافظة القاهرة,الصناعات الغذائية,92,2025-07-22T04:31:23.672227
889,محمود عبد اللاه منيس خميس  الواحة لتوريد وتصدير الحاصلات الزراعية,201092426855,youssif.ahmed@elwahaexport.com ,http://www.elwahaexport.com,El Bustan street – Seventh Avenue  Neighboring no 3 / Builiding number 78 – second floor / Flat No:  						محافظة الجيزة,الحاصلات الزراعية,92,2025-07-22T04:31:23.672935
890,الطيبات للمشروعات الزراعية,1225595291 /  01061337998,Melsayed@el-taybat.com ,http://www.el-taybat.com,Industrial zone north extension  						محافظة القاهرة,الحاصلات الزراعية,92,2025-07-22T04:31:23.673655
891,الجالب العالمى للأستيراد والتصدير,(2011)11890013,Shmohammed011@gmail.com,,كفر الشبع - الشهداء - المنوفية  						محافظة المنوفية,الحاصلات الزراعية,93,2025-07-22T04:31:26.306759
892,العلا هربس سبايس,(+2) 01093 8958 44,export@elola-herbs.com,https://www.elola-herbs.com/contact,شارع الجمهوريه ابشواى الفيوم  						محافظة الفيوم,الحاصلات الزراعية,93,2025-07-22T04:31:26.308785
893,الراعى للحلاوه الطحينيه,1144444136,info@elraee.com,http://www.elraee.com,Tayaba – Samalout – Minia  						محافظة المنيا,الصناعات الغذائية,93,2025-07-22T04:31:26.310520
894,الاعلام للاستيراد والتصدير,0020403060999,alaalaamegypt@yahoo.com,http://www.alaalaam.com,Shabsher ElHassa - Tanta  						محافظة الغربية,الحاصلات الزراعية,93,2025-07-22T04:31:26.311860
895,شركة اجرو اكسفورد لتصدير المحاصيل الزراعية والمنتجات الغذائية,00201023456785  &  00201003831736,Chairman@agroxford.com,,٦ ش الحرية .مصر الجديدة  						محافظة القاهرة,الحاصلات الزراعية,93,2025-07-22T04:31:26.313293
896,الكابتن للاستيراد والتصدير,10622202221-1116863686,elcaptainegyptiansweets@yahoo.com,,obour city el qualibi-egypt  						محافظة القليوبية,الصناعات الغذائية,93,2025-07-22T04:31:26.314615
897,الكابتن لاستخلاص الزيوت الطبيعية,10622202221-1116863686,traek.abozeid@yahoo.com,http://www.elcaptaion.net,obour city el qualibi-egypt  						محافظة القليوبية,الصناعات اليدوية,93,2025-07-22T04:31:26.315958
898,الدار للهندسة والمقاولات,,eldar@link.net,,منطقة شق الثعبان حوش التشوين المعادى الجديدة  						محافظة القاهرة,مواد البناء,93,2025-07-22T04:31:26.317240
899,شركه الرغد للخدمات اللوجستية,,elsayedelnagar35@gmail.com,,محافظة دمياط,الأثاث,93,2025-07-22T04:31:26.318506
900,الفائقة المتخصصة,1094540400,mostafayahea@ymail.com.com,http://www.ــــــــــــ,شرق النيل - الطريق الصحراوى -سمالوط  						محافظة المنيا,الصناعات الكيماوية والأسمدة,93,2025-07-22T04:31:26.319801
901,الفنان للمشغولات الذهب المجوهرات,1119823407,mesh_meshjabibi555@hotmail.com,,الجمالية - القاهرة   						محافظة القاهرة,الصناعات اليدوية,94,2025-07-22T04:31:28.893178
902,الفايز للحلاوة,1225789909,elfayez@elfayez.com,http://www.ــــــــــــ,الصليبة -سمالوط- المنيا  						محافظة المنيا,الصناعات الغذائية,94,2025-07-22T04:31:28.893792
903,الجزار للحلويات (الأحمدى),1003403583,ma7moud_egazy@yahoo.com,http://www.elgazzarsweet.com/,ميت خلف -شبين الكوم - منوفية  						محافظة المنوفية,الصناعات الغذائية,94,2025-07-22T04:31:28.894361
904,الهديل لتصدير الحاصلات الزراعية,1286888860 / - / 01007350313,m.ali@elhadeel.com ,http://www.elhadeel.com,20 ، Talaat Harb ST، Downtown، Cairo. Egypt  						محافظة القاهرة,الحاصلات الزراعية,94,2025-07-22T04:31:28.894905
905,فوددكس للاستيراد والتصدير,01002209820,foodex.eg88@gmail.com,http://www.foodex-eg.com,30 شارع الوفاء، منطقه الاستاد،طنطا،الغربيه  						محافظة الغربية,الحاصلات الزراعية,94,2025-07-22T04:31:28.895838
906,المنار للصناعات المعدنية والهندسية,+2 /  / 01065216720,export@elmanar-eg.com ,http://www.elmanar-eg.com,3rd Industrial Zone ExtensionThe 6th of October City -Egypt  						محافظة الجيزة,الصناعات الطبية,94,2025-07-22T04:31:28.896420
907,المروة لحفظ وتجميد الخضراوات والفواكه,01093505034
01009518888 / +20 / 1001204004,export@elmarwafoods.com,http://www.elmarwafoods.com,Obour city north Industrial zone  						محافظة الاسكندرية,الصناعات الغذائية,94,2025-07-22T04:31:28.896970
908,المحمدية للاستيراد والتصدير,,info@elmohamdia.com,,ابو جنشوا ابشواي الفيوم   						محافظة الفيوم,الحاصلات الزراعية,94,2025-07-22T04:31:28.897538
909,النهار للرخام والجرانيت,1123793129,sales@elnaharmarble.com,,Arab Abu Saed - El Saff Center - Giza  						محافظة الجيزة,مواد البناء,94,2025-07-22T04:31:28.898346
910,النيل للتصدير,002-01066061919,elnile4export@gmail.com, https://elnile2export.blogspot.com/,الفيوم -ابشواي  						محافظة الفيوم,الحاصلات الزراعية,94,2025-07-22T04:31:28.899252
911,الريحانه هيربس,,info@elrehanaherbs.com,https://elrehanaherbs.com/,مصر - الفيوم - ابشواي  						محافظة الفيوم,الحاصلات الزراعية,95,2025-07-22T04:31:31.487057
912,شركة السعد لضرب و تعبئة و تصدير الارز,1022444325,Elsaad.exp@gmail.com,http://www.elsaadgrain.com,Edco ، Salah Salem، Behaira  						محافظة البحيرة,الصناعات الغذائية,95,2025-07-22T04:31:31.487709
913,Elwaed import. & Export,00201019600070,s.elkenawi@gmail.com,,Elsenbllawin - Egypt   						محافظة الدقهلية,الحاصلات الزراعية,95,2025-07-22T04:31:31.488315
914,ORO for natural oil&Cosmetics,,Orojojobaplus@gmail.com,,محافظة الاسكندرية,الأثاث,95,2025-07-22T04:31:31.488832
915,Elgohary for trade and supplies,+20 100 214 2255,s.elgohary@el-gohary.com,http://Www.el-gohary.com,العاشر من رمضان المروة مول (4)  						محافظة الشرقية,الصناعات الغذائية,95,2025-07-22T04:31:31.489348
916,Healthyzone,,healthyzone2222@yahoo.com,,محافظة الدقهلية,الأثاث,95,2025-07-22T04:31:31.489856
917,ايما تراست فريش فودز,+2‏‪0106 263 2027‬‏,Info@Ema-trust.com,https://ema-trust.com/,المنطقة الصناعية -مدينة الفتح كوم اوشيم  						محافظة الفيوم,الصناعات الغذائية,95,2025-07-22T04:31:31.490370
918,الاندلس لتشغيل البلاستيك والتصدير,0020,123@yahoo.C,,محافظة القليوبية  						محافظة القليوبية,الصناعات الكيماوية والأسمدة,95,2025-07-22T04:31:31.491361
919,esg for fertilizers and chemical industries,,emad.deyab@esg-fertilizers.com,,محافظة المنوفية,الصناعات الكيماوية والأسمدة,95,2025-07-22T04:31:31.492411
920,الدقهلية للتنمية الزراعية,20223054802+,emad.alanani@dakahlia.net,http://www.dakahlia.com,15 عمارات رامو طريق النصر، مدينة نصر القاهرة، مصر/ (Nasr City - Cairo - Egypt)  						محافظة القاهرة,الحاصلات الزراعية,95,2025-07-22T04:31:31.494179
921,فالي فودز للتصدير,01010319937,emad.valleyfoods@gmail.com,http://www.valleyfoods-eg.com,172 شارع المنصورة حي السلام ، الإسماعيلية ، مصر.  						محافظة الإسماعيلية,الحاصلات الزراعية,96,2025-07-22T04:31:34.097239
922,Engineer Company for Rubber Products & Marine Work,002034840958,import.export@engineercomp.com,http://www.engineercomp.com,4 شارع الجمرك القديم بحرى الاسكندرية  						محافظة الاسكندرية,الصناعات الكيماوية والأسمدة,96,2025-07-22T04:31:34.097928
923,McCoy Int'l Trading Co. LLC,201028234111+,management@mccoyexp.com,https://mccoyexp.com,10th of Ramadan City ، 44629 Alordonia ، Amman Center 1 ، office 8  						محافظة الشرقية,الحاصلات الزراعية,96,2025-07-22T04:31:34.098475
924,McCoy Int'l Trading Co. LLC,01027952714,emadmccoy@gmail.com,https://mccoyexp.com,العاشر من رمضان - الاردنية  						محافظة الشرقية,الحاصلات الزراعية,96,2025-07-22T04:31:34.099044
925,Egyplast,,Egyplast@outlook.com,,محافظة الاسكندرية,الأثاث,96,2025-07-22T04:31:34.099573
926,مكتب العميد لخدمات التعقيم ومكافحة الحشرات,01094405740,emadmang@gmail.com,<a href='https://homerun.com.eg/pro/العميد-القاهرة-شبرا-التطهير_2038889'> العميد القاهرة شبرا التطهير - هوم رن  </a>,٣ محمود العطار متفرع من شارع عرابى شبرا  						محافظة القليوبية,,96,2025-07-22T04:31:34.100105
927,الافريقية للاكياس الورقية,,africacups@yahoo.com,,المنطقة الصناعية - 6 اكتوبر  						محافظة الجيزة,الطباعة والتغليف والورق,96,2025-07-22T04:31:34.100634
928,new bero fashiom,42277090,bero_emad@hotmail.com,,4 شارع عماد ونيس -  اول طريق بلقس - بهتيم  						محافظة القليوبية,الملابس الجاهزة,96,2025-07-22T04:31:34.101194
929,تريفي فرنتشر,,emad@trevi-design.com,,دمياط- المنطقة الحرة- بلوك 8  						محافظة دمياط,الأثاث,96,2025-07-22T04:31:34.101720
930,AlTayeb for Export,,info@altayeb-eg.com,,محافظة الفيوم,الحاصلات الزراعية,96,2025-07-22T04:31:34.102245
931,ايماف هيربز للاستيراد والتصدير,+201002756156,info@emaf-herbs.com,https://www.emaf-herbs.com,مصر الفيوم ابشواى ش الجلاء  						محافظة الفيوم,الحاصلات الزراعية,97,2025-07-22T04:31:36.719755
932,swiss international,,eman@rabadh.com,http://www.rabadh.com,عمارات العبور  						محافظة القاهرة,الصناعات الهندسية,97,2025-07-22T04:31:36.720316
933,seven stars,,emanazab1703@gmail.com,,محافظة الاسكندرية,الأثاث,97,2025-07-22T04:31:36.720881
934,Yumi Foods for food industries,,info.yumifoods@gmail.com,,محافظة الجيزة,الأثاث,97,2025-07-22T04:31:36.721411
935,إى أم سولت جروب,+201002010531,ops@emsalt.com,https://emsalt.com/,منطقة أرض الجولف برج 8 وحدة 606  - الضواحى - بورسعيد  						محافظة بورسعيد,الصناعات الغذائية,97,2025-07-22T04:31:36.721998
936,شركة الجمال للبويات والصناعات الكيماوية ومنتجات الاسبراى,00201001575418 / 00201094643334,hesham.mohamed@elgammalgroup.com,http://www.elgammalgroup.com,مدينة 6 اكتوبر-المنطقة الصناعية الاولى - قطعة 219-220-221  						محافظة الجيزة,الصناعات الكيماوية والأسمدة,97,2025-07-22T04:31:36.722581
937,المجموعة المصرية للصناعات الدوائية,+2) 02 43 13 03 21-30,e.eltablawy@egpi.org,http://www.egpi.org,ميدان المستقبل - ش الشباب - مدينة العبور.  						محافظة القاهرة,الصناعات الطبية,97,2025-07-22T04:31:36.723159
938,M.N.B.,002035865157,export@mnbco.com,http://www.mnbco.com,18 Moustafa Fahmy Street، Gleem  						محافظة الاسكندرية,الصناعات الطبية,97,2025-07-22T04:31:36.724087
939,M.sib,,azyaacenter1@gmail.com,,محافظة الجيزة,الأثاث,97,2025-07-22T04:31:36.724873
940,الشركه المصريه السودانيه للتنميه والاستثمارات المتعدده,1008575976,monged@egysudan.com,http://www.egysudan.com,القاهره - الكوربه - 18 أ شارع سيزوستريس   						محافظة القاهرة,الصناعات الغذائية,97,2025-07-22T04:31:36.725483
941,شركة المهندس لمنتجات الكاوتشوك والاعمال البحرية واعمال التبطين بالكاوتشوك,03 4840957/8,essam@engineercomp.com,www.engineercomp.com,الكيلو 23.5 طريق الإسكندرية القاهرة الصحراوي –مرغم بحرى  						محافظة الاسكندرية,الأثاث,98,2025-07-22T04:31:40.076308
942,Elkomy Plast,,elkomyplast@gmail.com,,محافظة الجيزة,الأثاث,98,2025-07-22T04:31:40.077074
943,جولدن تاتش,,engydelta99@gmail.com,,دمياط الشارع الحربى بجوار مسجد الفتح ومكتب بريد عزبة اللحم  						محافظة دمياط,الأثاث,98,2025-07-22T04:31:40.077636
944,جنوينز,,ein.masriya@gmail.com,,محافظة الجيزة,الأثاث,98,2025-07-22T04:31:40.078195
945,اتيكو للتجارة والتصنيع,00201099923456,engy@eticogroup.net,https://www.eticogroup.net/,6 ش 277 المعادي  						محافظة القاهرة,الصناعات الهندسية,98,2025-07-22T04:31:40.078924
946,إرادة للإستثمار و التنمية الزراعية,002 / 0106155536- / 20109035000002 / 01221775007,u.abdelatif@yahoo.com,http://www.eradah-eg.com,28، El Moltaka El Araby St. Sheraton، Heliopolis  						محافظة القاهرة,الحاصلات الزراعية,98,2025-07-22T04:31:40.079924
947,ميديترانيو للصناعة,+202 2565-1065,eslam.mohsen@mediterraneo-egypt.com,https://mediterraneo-egypt.com/,المنطقة المحلية السابعة - الحى الأول - التجمع الخامس  						محافظة القاهرة,الحاصلات الزراعية,98,2025-07-22T04:31:40.080903
948,معرض القيصر,01010034092,esammagdy546@yahoo.com,,دمياط - السنانية أمام المطحن بجوار البيت الفرنسي  						محافظة دمياط,الأثاث,98,2025-07-22T04:31:40.081808
949,pyramids for cotton textiles industries,01220053500,sales@pyramidstextiles.com,,Alexandria،Egypt  						محافظة الاسكندرية,الغزل والمنسوجات,98,2025-07-22T04:31:40.082709
950,RM FRESH for import and export,,eslam.zaki@rm-fresh.com,https://www.rm-fresh.com/,محافظة البحيرة,الحاصلات الزراعية,98,2025-07-22T04:31:40.083693
951,Vortex,,Eslam.dwidar@gmail.com,,محافظة الجيزة,الأثاث,99,2025-07-22T04:31:42.708823
952,Eltawhid for chemicals,0554502820,eslamerfan55@gmail.com,http://www.eltawhidchemicals.com,محافظة الشرقية,الصناعات الغذائية,99,2025-07-22T04:31:42.709373
953,Gelila For Export and Import,01005672221,ceo@gelila-eg.com,http://www.gelila-eg.com,شارع أحمد ماهر  						محافظة الدقهلية,الحاصلات الزراعية,99,2025-07-22T04:31:42.709982
954,حلا امي للاستيراد والتصدير والتوكيلات التجارية,01276547353,Halla.omy@gmail.com,,محافظة سوهاج,الصناعات الغذائية,99,2025-07-22T04:31:42.710511
955,اجري بلس,,Agriplus560@gmail.com,,محافظة الفيوم,الأثاث,99,2025-07-22T04:31:42.711056
956,محمد حسن محمود مصطفى خليفة وشركاته,- + (2011) 14070850,elamana70@yahoo.com,http://www.elamanafood.com,مدينة الصالحية الجديدة - المنطقة الصناعية الاولى - قطاع ج - قطعة 2  						محافظة الشرقية,الصناعات الغذائية,99,2025-07-22T04:31:42.711615
957,الامانة فود,0553201555 - 1114070850,info@elamanafood.com,http://www.elamanafood.com,شارع التوبة - الصالحيه الجديده - مصر  						محافظة الشرقية,الصناعات الغذائية,99,2025-07-22T04:31:42.712171
958,Naba Elkhair,,eslam.mahmoudnabaelkhair@yahoo.com,,محافظة كفر الشيخ,الحاصلات الزراعية,99,2025-07-22T04:31:42.712727
959,المصرية الدوليه لتوريد الحجر الجيري,,eilslimestone@gmail.com,,محافظة المنيا,مواد البناء,99,2025-07-22T04:31:42.713311
960,السلام للتجارة,,elmorsy2001@icloud.com,,محافظة المنوفية,الصناعات الغذائية,99,2025-07-22T04:31:42.714293
961,zaad farms,01061062592,Eslam.nassar@zaadfarms.com,http://www.zaadfams.com,1 ابراج البرعى بلازا-المحور المركزى-اكتوبر- الجيزة  						محافظة الجيزة,الحاصلات الزراعية,100,2025-07-22T04:31:45.312633
962,Memphis Stones,00201014431327,info@memphis-stones.com,http://www.memphis-stones.com,4 Ibn Ward St. - Lebiny Axis - Giza - Egypt  						محافظة الجيزة,مواد البناء,100,2025-07-22T04:31:45.313371
963,هيلثي آند جرين,,eslamgoda759@yahoo.com,,المريوطيه الجيزة   						محافظة الجيزة,الحاصلات الزراعية,100,2025-07-22T04:31:45.314009
964,نيو عبور اكتوبر,0121 111 2490,EslamSayedKamel1965@gmail.com,,القاهره_البساتين_المنطقه الصناعيه قطعه رقم1194 بجانب مصنع الهلباوي للبلاستك  						محافظة القاهرة,الصناعات الهندسية,100,2025-07-22T04:31:45.314640
965,Trend Pharma ( Roots),01063137857,esraasalah174@gmail.com,,محافظة الجيزة,الصناعات الغذائية,100,2025-07-22T04:31:45.315266
966,شركة حبوبة فاميلي للمواد الغذائية - ريحانة,+20 106 726 2220,e.salah@rehanaproducts.com,https://www.rehanaproducts.com/en,دار الكتب-القناطر الخيرية-القليوبية  						محافظة القليوبية,الصناعات الغذائية,100,2025-07-22T04:31:45.315878
967,أورينتال لمكسبات الطعم والرائحة,01033351203,info@oriental-flavours.com,http://oriental-flavours.com/,المنطقه الصناعيه الثانيه - قويسنا - المنوفية  						محافظة المنوفية,الصناعات الغذائية,100,2025-07-22T04:31:45.316510
968,New Construction Chemicals,,esraa.nady@ncc.com.eg,,محافظة القاهرة,الصناعات الكيماوية والأسمدة,100,2025-07-22T04:31:45.317083
969,MemaTech,01019442649,marketing@mematech.com,https://mematech.com/,10 شارع بستان الفاضل من القصر العيني ، القاهرة ، مصر  						محافظة القاهرة,الصناعات الطبية,100,2025-07-22T04:31:45.317661
970,Al-rehab farm,,info@alrehabfarm.com,,محافظة الجيزة,الأثاث,100,2025-07-22T04:31:45.318198
971,اكتف الدولية,01155000705,essam@activ.com.eg,,٣٦ شارع سعد زغلول . محطة الرمل  						محافظة الاسكندرية,الملابس الجاهزة,101,2025-07-22T04:31:47.912986
972,شركة عصام عبداللطيف على وشركاه,00201009000161,essam@egyscoven.com,http://www.EgyScoVen.com ,الاقصر   						محافظة الأقصر,الصناعات الطبية,101,2025-07-22T04:31:47.913674
973,اسيا للدهانات,,asiacoating2020@gmail.com,,محافظة الشرقية,الأثاث,101,2025-07-22T04:31:47.914261
974,لاتوجد,,essam.24394@hotmail.com,,محافظة القاهرة,الحاصلات الزراعية,101,2025-07-22T04:31:47.914786
975,الشركة الشرقية لصناعة الاجهزة المنزلية ( تكنو-تكنوجاز ),19843,essam.hassan@tecnogasegypt.com,http://www.tecnogasegypt.com,3 شارع جامعه القاهرة ، ميدان الجيزه  						محافظة الجيزة,الصناعات الهندسية,101,2025-07-22T04:31:47.915404
976,يورو كونفرتينج للتجارة,1005673004,naserkhalil@hotmail.com,http://www.ect-eg.com,444 third industrial zone 6th of October city  						محافظة الجيزة,الطباعة والتغليف والورق,101,2025-07-22T04:31:47.915979
977,ايفر جرين ايجيبت يونيتد,1001135005,kk.naser@hotmail.com ,,plot 9108 offrd 9 Mokattam Cairo  						محافظة القاهرة,الحاصلات الزراعية,101,2025-07-22T04:31:47.916548
978,ايقر جرين للماستر باتش واضافات الوان البلاستيك,42146417,gm@elmostafa4mb.com,,5 مدخل ابو سنة مجمع ابو هلال الصناعي  قليوب قليوبية   						محافظة القليوبية,الصناعات الكيماوية والأسمدة,101,2025-07-22T04:31:47.917080
979,المصرية الالمانية للصناعات الهندسية ايفيدال ايجيبت,01021998622 /  / +(002)01009842303,m_monir@evidalegypt.com,http://www.evidalegypt.com,قطعه 120 من المجموعه ن - المنطقه الصناعية الخامسه - مدينه السادات - المنوفيه  						محافظة المنوفية,الأثاث,101,2025-07-22T04:31:47.917650
980,هايتكنوفل اوبتكس,20227549607/08/09/10,esamir@hiteknofal.com,http://www.hiteknofaloptix.com,المنطقة الصناعيه الثالثة- مدينه بدر- القطع 14، 15، 16، 18، 59 أ، 59 ب، القاهرة مصر  						محافظة القاهرة,الصناعات الهندسية,101,2025-07-22T04:31:47.918266
981,الخبراء للصناعات الغذائية,012 / 22112412,marwafaridsaleh@yahoo.com,http://www.expertsfood.com,150 Nile St. Agouza. Giza،  Egypt  						محافظة الجيزة,الصناعات الغذائية,102,2025-07-22T04:31:50.515767
982,احمد محمد محمود احمد محمد فرحات - اكسترا جلوبال,00201-156622330,sales@extraeg.com ,http://www.extraeg.com,Omrat Osman، Building No 9، ElSaaa Victoria Alexandria  						محافظة الاسكندرية,الحاصلات الزراعية,102,2025-07-22T04:31:50.516608
983,Nile Harvest for Export,01212110885,officialgiar@gmail.com,http://www.nileharvestexports.com,الشهداء،المنوفية،جمهورية مصر العربية  						محافظة المنوفية,الصناعات الغذائية,102,2025-07-22T04:31:50.517469
984,Shali Siwa Salt,,info@shalisiwasalt.com,,محافظة الاسكندرية,الأثاث,102,2025-07-22T04:31:50.518276
985,Elsokaryplast,01000555516,ezz_elsokary84@yahoo.com,,المدينه الصناعيه بأبوتيج  						محافظة أسيوط,الطباعة والتغليف والورق,102,2025-07-22T04:31:50.519068
986,قباني ووتار للصناعه,38315861,nelkamel@kw-industries.com,,القطعة 207-208 امتداد المطقة الصناعية السادسة-اكتوبر الجيزة  						محافظة الجيزة,الأثاث,102,2025-07-22T04:31:50.519862
987,اليجاتور برو,201016494751+,contact@alligatorpro.com,http://www.alligatorpro.com,8th، home 19، Maadi، Cairo، Egypt  						محافظة القاهرة,الحاصلات الزراعية,102,2025-07-22T04:31:50.520698
988,JPF For Investment Consulting and Export ( جى بى أف ),01003229925,info@jpfinvestments.com,http://www.jpfinvestments.com,1B AL NASR AVENUE  						محافظة بورسعيد,الملابس الجاهزة,102,2025-07-22T04:31:50.521493
989,Arrowheadherbs for import and export,00201000256745,Mr.fady@arrowheadherbs.com,http://www.arrowheadherbs.com,المصنع: 46 شارع بورسعيد ـ ابشواي ـ الفيوم ـ مصر  						محافظة الفيوم,الحاصلات الزراعية,102,2025-07-22T04:31:50.522377
990,سوبر سبايس,+20 110 148 7882,sales@superspices-co.com,https://www.superspices-co.com,الفيوم -  ابشواي  						محافظة الفيوم,الحاصلات الزراعية,102,2025-07-22T04:31:50.525577
991,Marble Stone Egypt,27001626 - 01008327565,info@marblestoneegypt.com,,99 امتداد الامل - طره - المعادى  						محافظة القليوبية,مواد البناء,103,2025-07-22T04:31:53.096550
992,شركة فارم فود للصناعات الغذائية,/  / +201200004131 / / / 01200004122,mshorafa@farmfood-eg.com,http://www.farmfood-eg.com,52 Shehab Str.، Giza، Egypt  						محافظة الجيزة,الصناعات الغذائية,103,2025-07-22T04:31:53.097140
993,فارم فروتس للإستثمار الزراعي,/ +20 / 1003241122,info@agreen-co.com,http://www.agreen-co.com,10th of Ramadan City، Sharkia ، Egypt  						محافظة القاهرة,الصناعات الغذائية,103,2025-07-22T04:31:53.097734
994,مؤسسة الاستيراد والتصدير العربية,00201153777569,farragsaad16@gmail.com,,دلجا ديرمواس المنيا  						محافظة المنيا,الحاصلات الزراعية,103,2025-07-22T04:31:53.098339
995,لوتس يونايتد,00201003131160,sales@lotusuni.com,,محافظة القاهرة,الصناعات الطبية,103,2025-07-22T04:31:53.098877
996,ايكات للدهانات والاحبار ( بريموكات ),(+202) 24472846 / 47 / 48 / 49 / 50,shabana@ecatchemicals.com,http://www.ecatchemicals.com,عمارة 2006 ، الطريق الدائري ، بالقرب من كارفور المعادي ،  						محافظة القاهرة,الصناعات الكيماوية والأسمدة,103,2025-07-22T04:31:53.099462
997,Nawras,201094417138+,n.f9190077@gmail.com,,الورديان-قسم -ميناء البصل   						محافظة الاسكندرية,الحاصلات الزراعية,103,2025-07-22T04:31:53.100020
998,Alex Fresh,00201125321099,Info@alexfresheg.com,http://www.alexfresheg. com,العطارين الاسكندرية  						محافظة الاسكندرية,الحاصلات الزراعية,103,2025-07-22T04:31:53.100636
999,Alaseal honey bee,00201003420091,Fathybehary6@gmail.com,http://Www.Alasealhoney.com,Tanta 63 roshdey st from hasan rdwan   						محافظة الغربية,الصناعات الغذائية,103,2025-07-22T04:31:53.101215
1000,AL-FAKHR IMP&EXP,25106727,eltahawy2222@gmail.com,,AHMED BADAWY،ABO EL NOMROS،GIZA  						محافظة الجيزة,الأثاث,103,2025-07-22T04:31:53.101733
1001,مؤسسة سبايس لاند للإستيراد والتصدير و التوكيلات التجاريه .,01050044060,sales2@spicelanden.com,https://www.spicelanden.com,مصر- مدينة العاشر من رمضان - مجاوره ( 5 ) عماره ( 27 )  -  Egypt، 10th of Ramadan City، Neighborhood No. ( 5 )، Building No.( 27 ) .  						محافظة الشرقية,الحاصلات الزراعية,104,2025-07-22T04:31:55.721061
1002,Jit pharma,01023135858,dr.fatma@jit-pharma.com,http://www.jit-pharma.com,10 ش محمود يونس برج صيادلة البحيرة الدور الارضي خلف نقطة شرطة سموحة - سموحه  						محافظة الاسكندرية,الصناعات الطبية,104,2025-07-22T04:31:55.723346
1003,Ultra Lab Science,,info.ultralab@gmail.com,,محافظة الجيزة,الأثاث,104,2025-07-22T04:31:55.726523
1004,bakers choice,01065541270,fawzy.mirag@Gmail.com,,1 ابراج سفنكس تقاطع ش الحلو مع المنصورية نزلة السمان الهرم  						محافظة الجيزة,الصناعات الغذائية,104,2025-07-22T04:31:55.727732
1005,اليكس جرين للاستيراد و التصدير,0452633560,fawzy.nassar@alexgreen-eg.com,http://www.alexgreen-eg.com,794 Ahmed Zeweil Street،Second District،Nubaria City-Buheira-Egypt.  						محافظة البحيرة,الحاصلات الزراعية,104,2025-07-22T04:31:55.728816
1006,فود أليانس لتصدير الحاصلات الزراعية,002-01000496256,info@foodallianceco.com,http://www.foodallianceco.com,KM 25 Elsadat City Kafr Dawood Road، Monofiya، Egypt  						محافظة المنوفية,الحاصلات الزراعية,104,2025-07-22T04:31:55.730080
1007,Foodex,0020403332801,ahmed.gamal88@yahoo.com,http://www.foodexeg.com,Tanta  						محافظة الغربية,الصناعات الغذائية,104,2025-07-22T04:31:55.731215
1008,فيوتشر اجريكو للاستثمار (جرين 12),+2 / 010 / 2291 / 4099  /,Export.02@fa-gr12.com ,http://www.Fa-GR12.com,16 Gawad Hosny st.، Qasr El Nil، 1111  						محافظة القاهرة,الحاصلات الزراعية,104,2025-07-22T04:31:55.732714
1009,كلير جولدن,,naser_adres@yahoo.com,,محافظة كفر الشيخ,الأثاث,104,2025-07-22T04:31:55.734020
1010,الوطنية للصناعات المعدنية والأجهزة المنزلية,0020822530001,info.wataneyag@gmail.com,http://www.wataneyag.com/en,بني سويف - منطقة كوم ابو راضي الصناعية  						محافظة بني سويف,الصناعات الهندسية,104,2025-07-22T04:31:55.734920
1011,Brand For Pharmaceutical Industry,01050644441,galaleissa@semak-eg.com,,64 Tahrir St ، Dokki  						محافظة الجيزة,الصناعات الطبية,105,2025-07-22T04:31:58.313145
1012,AL NOUR COMPANY FOR GLOBAL TRADING,01274971199,info@alnourcompany.net,http://www.alnourcompany.net,العجمى  						محافظة الاسكندرية,الصناعات الطبية,105,2025-07-22T04:31:58.314314
1013,كايرو ثري أيه للزراعة و الإنتاج الحيواني,25657382,Gamaal.com@Gmail.com,http://www.cairo3a.net,62 B، El Tagamoa El-Khams Services Center، New Cairo، Egypt  						محافظة القاهرة,الحاصلات الزراعية,105,2025-07-22T04:31:58.315446
1014,الوادي الشرقي,01211062566,orientvalley.supplies@gmail.com,,35 طريق الاستاد - اسيوط الجديدة  						محافظة أسيوط,الصناعات الطبية,105,2025-07-22T04:31:58.316284
1015,الصفا للرخام والجرانيت,,gtharwatokasha@gmail.com,,محافظة الدقهلية,الأثاث,105,2025-07-22T04:31:58.316877
1016,جاما باك,1017888890,info@gamma-pack.com,https://www.gamma-pack.com/,El Hawamdeya، Cairo - Asyut Highway  						محافظة الجيزة,الطباعة والتغليف والورق,105,2025-07-22T04:31:58.317859
1017,أرض الأعشاب للنباتات العطرية,0842202444,gasserg759@gmail.com,http://www.herbslandexport.com/,شارع الممشى السياحي ، الفيوم ، مصر///المدينة الصناعية ، كوم أوشيم ، الفيوم ، مصر  						محافظة الفيوم,الحاصلات الزراعية,105,2025-07-22T04:31:58.318515
1018,Export Bridge,00226184841,exportbridge.me@gmail.com,http://www.exportbridge.me,محافظة القاهرة,الصناعات الغذائية,105,2025-07-22T04:31:58.319094
